upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P0A8T7,20.47,4.82,20.64,10.69,8.87,3.10,10.83,33.45,8.68,1.74,8.99,1.47,6.76,12.08,20.91,13.86,6.14,6.27,16.15,22.87,16.45,9.29
P0A8V2,18.15,2.91,14.56,10.33,6.12,5.08,7.44,25.11,8.28,2.75,8.53,1.24,14.42,11.18,17.48,10.51,5.93,4.27,13.51,19.75,13.60,7.77
P36683,17.23,0.96,3.98,8.11,2.63,5.71,2.22,4.57,4.97,3.10,5.24,0.93,3.93,10.04,16.60,9.57,4.47,21.78,3.16,2.07,4.21,3.25
P15254,9.31,5.12,8.30,1.02,3.24,6.88,4.74,4.28,8.93,4.43,9.08,3.30,7.01,4.02,12.97,11.38,1.78,7.88,1.22,7.69,2.96,6.20
P09831,6.30,4.23,9.76,21.93,6.04,2.45,9.79,23.57,7.97,5.28,5.38,3.14,17.44,3.98,28.41,17.39,7.84,20.05,17.71,22.36,10.69,8.91
P0AFG8,22.23,2.34,14.36,9.05,2.39,2.18,9.61,22.87,8.33,3.68,9.07,1.24,4.58,9.58,19.84,9.78,8.08,7.27,13.71,20.08,6.64,13.13
P0A9Q7,23.53,4.18,10.32,11.05,6.40,2.82,9.27,27.11,14.63,5.56,10.67,3.89,6.36,7.09,16.80,10.42,13.96,3.19,18.77,20.21,29.64,6.36
P0CE47,9.45,2.95,3.44,2.92,1.94,3.20,4.70,5.53,5.53,1.56,3.30,2.74,5.04,1.78,1.93,7.95,6.29,0.71,2.96,3.21,3.92,3.95
P25665,6.49,3.17,8.99,8.05,4.71,2.20,1.66,2.46,3.61,4.33,3.17,2.59,1.71,12.89,11.51,13.13,5.26,1.05,5.26,16.24,14.80,3.17
P0A6F5,4.09,1.12,3.82,1.93,5.41,3.06,3.64,5.82,1.44,2.95,2.31,4.43,1.99,1.35,2.09,6.70,6.65,7.86,3.16,3.13,6.32,1.36
P00968,4.19,2.21,27.18,10.74,5.57,3.08,0.50,12.50,6.92,3.24,9.92,1.31,6.42,5.17,20.39,9.35,2.92,6.82,6.68,15.91,4.01,2.94
P09373,11.03,2.71,13.02,14.64,7.44,4.78,6.20,14.16,9.31,4.56,8.59,3.28,4.70,11.53,17.16,10.03,8.30,2.45,10.74,10.76,11.16,2.20
P0A6Y8,7.90,3.04,2.54,2.21,3.90,3.35,3.41,8.32,3.01,1.06,4.59,4.56,4.64,6.58,11.05,8.03,8.88,6.02,0.94,5.30,3.59,0.32
P0A705,18.73,4.67,13.64,12.07,2.27,1.89,4.76,19.58,8.03,4.29,8.60,3.12,9.04,11.09,16.58,11.63,4.13,1.52,9.70,15.60,11.80,6.83
P05793,10.20,3.33,6.43,6.00,0.76,4.05,1.31,7.68,13.83,2.40,5.70,1.81,5.92,6.06,23.87,6.51,3.53,7.26,2.63,10.75,2.56,3.52
P00864,6.60,6.56,15.28,20.43,4.02,4.41,11.50,30.48,12.88,1.91,8.28,3.04,14.17,9.07,20.84,23.19,6.57,7.03,12.99,20.26,14.27,19.40
P00957,6.35,2.42,9.86,8.32,2.94,9.89,2.23,8.86,9.84,4.94,6.80,2.61,3.85,3.35,14.37,17.74,5.88,2.61,7.17,13.97,2.53,6.96
P0A6M8,9.99,0.83,3.18,4.89,2.57,1.41,1.15,7.92,4.17,3.76,4.83,2.53,4.56,0.98,10.11,6.65,2.53,3.11,2.53,2.01,3.34,2.67
P00961,5.13,0.96,4.09,8.44,3.64,2.36,1.84,4.40,3.91,4.38,12.55,4.96,9.20,4.69,12.44,4.17,2.32,3.12,9.36,6.76,4.83,2.24
P76558,31.13,5.63,17.86,9.51,5.57,8.51,8.19,32.45,12.72,3.01,7.86,1.00,14.82,9.26,23.69,24.39,5.72,9.00,14.45,17.13,11.31,6.21
P0AG67,13.24,1.28,5.54,1.98,1.60,0.78,3.47,0.74,2.83,4.02,0.98,3.49,1.62,6.89,18.22,6.98,5.94,12.26,4.68,2.39,3.33,4.57
P07813,10.22,3.38,6.58,3.59,2.32,4.21,2.74,3.84,4.91,5.32,9.71,3.08,10.28,7.16,17.32,0.74,8.23,1.85,10.82,10.53,5.50,1.68
P00561,4.35,4.47,8.90,17.17,9.76,1.24,10.22,26.72,19.93,2.09,8.60,4.89,7.22,9.96,21.73,11.77,3.74,10.32,13.71,13.80,7.56,18.42
P0AFG3,12.42,3.29,10.20,16.78,4.78,8.29,6.14,14.91,13.05,3.37,8.20,1.86,8.27,4.13,8.08,12.77,11.55,3.18,11.08,16.93,2.93,5.21
P00956,4.13,0.53,3.85,1.86,3.62,3.36,1.62,8.52,2.52,4.57,6.65,4.72,5.29,7.74,3.42,8.99,5.82,2.05,4.12,5.99,6.13,3.93
P25553,31.14,3.77,7.79,1.80,6.57,8.84,1.48,2.89,5.29,2.88,7.56,1.41,6.34,10.97,12.60,5.75,1.41,16.82,4.26,6.40,15.85,5.09
P10408,19.08,2.94,16.88,11.51,5.80,8.24,5.46,20.06,8.83,5.10,12.38,2.36,13.35,17.23,31.22,7.56,4.55,7.60,14.94,18.65,8.35,12.23
P21889,7.49,3.30,9.62,7.11,5.34,2.03,4.62,7.29,4.30,5.76,5.47,1.74,5.03,12.05,19.12,20.20,4.11,2.82,2.91,7.65,3.17,5.16
P07395,15.07,2.87,12.98,7.27,3.16,5.23,2.96,17.63,12.09,3.00,5.38,3.94,2.10,9.90,19.51,9.62,2.48,2.47,10.69,13.11,17.72,6.74
P07118,8.92,1.43,9.66,7.40,2.68,5.92,2.71,3.40,4.97,1.22,5.14,1.18,9.79,16.39,17.87,16.19,1.47,3.85,4.99,0.61,3.51,8.19
P23847,63.77,5.91,5.93,6.44,0.85,7.44,2.48,3.93,7.03,2.38,0.59,4.15,1.16,2.77,1.95,11.11,1.92,0.67,5.30,4.72,3.69,4.88
P06959,13.40,2.83,7.92,4.27,3.24,3.28,3.33,12.12,2.06,7.37,5.57,4.79,8.05,7.43,4.07,12.10,7.74,7.36,5.18,19.83,6.29,8.42
P13029,26.86,1.67,9.69,6.13,5.92,3.59,9.36,3.20,2.82,4.72,5.02,3.54,28.58,22.30,21.48,7.20,10.65,7.52,0.88,1.74,9.13,4.78
P0AES4,17.74,5.30,16.02,11.10,10.94,13.42,16.76,32.88,12.50,8.74,6.96,7.94,6.24,14.16,22.81,20.69,4.08,1.76,18.68,13.70,8.79,10.24
P08200,10.24,3.83,0.81,0.73,4.87,10.28,1.71,3.57,1.06,4.26,2.69,1.34,10.36,10.31,9.60,15.91,1.07,5.03,4.77,3.26,8.26,5.54
P0ABB4,4.61,1.07,2.97,1.74,4.57,1.70,0.64,1.22,1.21,3.50,2.69,2.36,3.13,2.16,18.28,5.14,2.56,7.67,3.39,4.00,3.48,2.94
P04825,8.79,0.82,4.48,3.09,6.90,1.94,3.27,8.36,1.55,1.72,3.46,0.86,6.86,9.40,18.05,6.43,2.75,2.93,8.99,7.20,6.18,5.20
P0AD61,2.76,4.93,2.24,6.57,5.93,10.38,2.69,6.29,4.46,5.79,2.68,5.53,2.96,6.56,14.70,10.75,3.26,6.58,8.02,1.13,11.96,1.66
P0A9G6,51.20,2.55,4.44,5.55,2.18,4.36,4.45,3.03,3.17,0.64,2.51,3.30,10.02,9.68,8.64,8.71,6.64,5.56,4.37,6.43,13.19,8.77
P0AC33,10.81,0.76,1.42,1.36,6.62,5.47,0.82,6.08,5.40,1.54,4.62,3.98,7.67,6.23,15.63,13.49,4.46,7.76,3.97,8.61,5.76,0.79
P09546,58.63,14.40,20.57,19.74,1.48,37.84,10.90,23.41,6.11,3.13,32.98,21.31,14.91,35.86,13.89,16.77,4.38,9.54,10.38,15.99,2.59,8.51
P21179,52.38,6.56,10.60,12.11,7.53,1.02,6.11,12.72,18.80,5.37,4.76,3.22,1.83,4.72,3.95,16.25,8.34,6.79,3.72,5.86,38.53,15.80
P0A6Z3,10.26,1.86,1.17,4.51,1.61,3.01,2.88,3.08,0.27,2.53,6.13,4.25,6.29,5.70,6.67,14.27,8.06,4.14,1.87,7.18,5.11,1.51
P0A6P1,14.03,0.65,2.92,3.67,8.08,9.24,2.13,6.13,4.30,3.80,1.90,2.96,3.26,2.59,8.14,4.82,4.30,5.64,3.92,4.38,7.58,1.46
P08839,7.28,3.95,2.76,8.34,4.36,5.65,1.59,2.74,2.57,2.76,2.96,4.77,4.29,2.03,12.82,6.20,2.33,3.71,3.28,3.00,10.80,1.87
P0A6E4,11.39,2.73,6.74,7.39,7.00,6.81,0.81,8.04,1.97,2.37,3.07,1.97,5.84,8.58,15.44,4.17,5.85,3.08,2.78,5.28,10.08,3.65
P0A6F3,14.52,6.58,15.13,2.49,4.55,5.76,1.26,17.47,2.35,1.37,6.27,1.93,5.23,6.95,64.99,8.71,3.49,16.15,8.65,10.01,28.74,30.64
P0A9M8,19.39,5.13,14.27,15.76,4.88,2.78,6.97,29.25,8.09,3.35,11.44,3.20,6.17,8.59,13.62,13.84,6.31,8.80,15.77,16.33,12.54,4.55
P0A850,10.03,2.62,5.03,1.44,8.94,3.74,5.96,3.17,5.48,5.36,6.68,7.94,6.72,10.12,15.40,6.81,7.37,12.12,2.95,7.27,11.84,3.67
P0A940,6.31,3.86,5.26,4.81,0.95,4.85,2.68,7.44,1.98,1.95,1.10,1.70,5.28,5.44,1.94,3.84,1.75,4.20,0.95,1.05,0.93,3.41
P05055,17.44,5.22,16.30,17.03,7.72,9.39,8.54,27.80,5.41,5.04,9.55,6.46,1.25,9.71,18.87,10.16,6.81,5.49,16.26,17.24,18.14,11.90
P0A6T1,3.86,1.86,5.18,5.74,0.34,3.90,2.87,8.98,2.12,6.08,5.36,2.36,0.93,11.83,12.16,12.02,3.59,8.58,1.82,1.01,0.86,6.25
P0AC41,7.39,0.95,4.01,8.99,4.26,8.23,6.25,7.92,4.22,4.48,7.60,1.86,7.96,10.34,13.50,7.85,3.10,1.37,5.52,9.08,10.30,2.32
P0A9M0,15.49,3.70,13.60,2.42,7.79,2.25,7.12,18.91,10.65,6.54,12.86,7.47,4.58,3.65,18.22,4.92,5.72,3.99,10.41,13.00,6.73,10.83
P27550,55.45,8.55,2.74,6.81,4.24,5.12,0.96,3.00,9.79,1.34,3.78,3.04,3.23,9.01,24.35,12.19,7.49,11.33,3.81,5.63,20.26,6.24
P23538,1.21,9.42,1.50,7.67,4.14,2.19,2.32,4.46,12.73,3.96,1.33,4.03,9.21,5.76,17.42,6.01,3.30,20.47,2.03,3.37,3.58,2.81
P04079,2.12,1.65,1.68,7.03,3.84,4.51,2.65,5.84,2.26,0.54,2.84,2.97,2.99,20.80,12.81,6.30,3.73,4.82,5.14,6.88,6.50,4.73
P22523,15.93,11.27,15.99,13.57,17.08,2.00,17.78,32.95,9.65,4.26,6.56,2.27,13.47,12.14,20.38,5.75,10.08,8.21,18.93,31.60,21.06,9.17
P0A9W3,4.18,1.61,8.24,4.00,5.09,2.69,8.43,0.97,2.91,2.52,3.73,10.93,5.13,5.50,5.97,1.49,4.13,7.25,3.55,2.89,5.13,3.40
P0AES6,7.58,2.15,16.06,12.63,8.98,1.01,10.06,12.62,15.23,9.83,14.81,3.02,7.95,5.64,17.64,11.85,3.03,3.65,9.03,9.68,9.32,14.08
P21513,19.77,4.26,12.90,26.50,11.57,6.52,13.69,24.38,7.32,2.63,10.09,4.88,0.90,11.94,11.49,24.57,9.07,4.92,17.98,4.63,8.71,9.09
P0A8M3,16.00,1.35,1.18,6.79,3.00,3.28,1.35,10.58,4.23,2.48,7.12,2.81,4.95,1.10,14.55,7.52,1.64,6.13,4.68,4.38,6.04,6.13
P0A799,9.31,2.35,6.88,2.74,7.20,1.75,6.17,6.11,4.02,7.29,3.89,9.18,4.85,3.94,15.81,15.47,6.74,1.71,7.03,5.27,4.11,6.44
P00370,9.27,4.70,12.24,10.10,4.48,7.38,2.18,18.08,7.73,4.96,11.70,2.40,9.60,19.16,19.33,15.50,3.87,5.92,1.48,21.27,11.07,8.33
P0A825,6.65,1.22,4.21,5.89,7.74,9.37,9.44,2.22,2.38,5.95,2.10,4.90,2.94,5.87,7.10,7.84,4.64,5.52,3.33,14.13,10.62,2.63
P23843,37.61,2.39,3.07,11.78,7.27,2.37,2.15,4.83,1.75,1.85,2.12,2.96,7.21,3.82,2.34,14.38,16.53,24.62,8.77,4.02,11.39,4.88
P0A9A6,7.16,4.99,4.74,3.22,4.99,6.13,1.38,7.56,3.67,3.26,3.21,3.87,8.92,7.37,2.85,10.05,2.85,1.34,1.80,7.99,1.99,10.96
P08997,49.42,2.32,5.34,3.18,6.24,3.76,5.44,12.29,11.19,2.33,5.05,1.84,1.98,15.01,2.66,13.80,9.24,10.11,4.55,4.54,7.74,8.99
P33602,8.04,5.58,17.24,6.98,3.42,11.22,3.41,17.05,2.14,1.27,5.35,6.98,13.98,13.68,18.11,19.16,9.31,15.03,3.20,13.50,11.99,10.13
P17846,19.42,2.52,13.63,16.82,5.64,1.72,6.48,4.55,6.18,8.43,8.20,10.81,19.12,18.63,16.08,8.45,5.07,10.25,9.54,7.67,6.55,4.40
P00582,6.82,2.59,16.22,14.73,2.45,5.81,1.76,17.34,6.98,8.06,7.23,5.72,1.13,54.77,17.27,7.68,7.23,4.08,4.42,7.10,9.09,6.64
P0A9B2,7.73,3.03,4.24,7.76,3.56,4.27,2.32,3.08,8.12,7.92,3.73,0.31,5.71,10.72,13.83,3.97,5.75,8.06,2.13,13.87,4.57,6.45
P15639,4.13,0.93,3.83,5.06,6.65,9.71,1.68,3.26,5.78,4.40,4.15,2.40,5.22,3.05,17.72,5.17,6.24,8.24,1.27,9.05,2.96,3.23
P0A853,82.78,0.52,11.08,7.95,3.61,6.59,3.01,0.70,5.29,5.06,7.07,3.07,15.53,12.26,9.68,4.40,7.88,4.34,5.66,6.49,6.25,6.25
P25516,40.37,0.45,7.84,1.53,9.48,9.16,6.36,1.68,11.64,4.14,2.10,7.15,9.10,9.88,14.65,7.50,3.03,8.72,9.22,4.59,15.97,7.52
P33599,15.01,0.42,13.25,4.70,4.62,3.96,8.11,13.03,5.11,0.64,2.47,1.19,17.42,11.42,22.62,13.77,5.83,9.60,7.72,9.91,7.83,1.52
P0A9C5,17.73,1.58,10.87,13.63,6.37,3.88,3.59,10.32,7.84,4.42,8.88,3.15,7.67,1.97,13.40,4.32,2.27,4.73,8.62,11.27,3.75,5.80
P09151,6.19,0.64,1.32,12.70,2.71,4.02,1.90,6.67,9.67,2.63,3.30,4.42,6.89,11.46,16.86,17.18,3.68,24.90,0.81,7.06,3.32,2.40
P37685,34.41,3.76,5.06,14.93,14.95,7.69,5.14,17.92,4.01,5.98,7.31,2.53,14.03,15.27,6.61,13.22,9.31,1.48,6.01,5.22,33.76,12.77
P06149,20.78,11.68,4.45,5.33,8.18,8.22,10.70,13.60,9.25,3.35,16.89,3.15,12.94,5.32,4.16,25.63,11.46,8.28,9.52,8.37,4.29,5.17
P37330,119.63,3.98,2.99,10.00,1.96,7.26,2.92,10.58,12.76,4.78,1.82,7.31,15.19,16.47,4.95,19.17,31.77,13.45,1.93,6.53,3.35,12.21
P0ABH7,33.14,1.35,9.31,3.05,5.11,2.99,5.28,11.48,12.48,5.70,3.96,5.23,5.66,4.65,16.16,14.90,6.92,7.20,7.34,7.32,8.39,6.59
P35340,7.58,7.39,7.76,10.58,7.38,10.53,1.75,2.91,6.02,7.09,0.74,5.14,11.02,8.08,15.69,5.93,6.56,2.69,0.81,9.53,6.07,8.85
P0A910,2.57,4.56,2.56,8.15,2.11,3.66,5.55,0.60,3.22,3.26,2.12,1.58,2.71,4.49,5.95,6.11,4.40,12.41,5.41,9.74,11.63,3.50
P17169,6.92,6.28,2.11,4.77,1.32,13.84,6.29,8.83,5.20,0.97,2.77,2.77,3.27,11.97,18.30,9.58,2.08,6.39,8.15,5.03,2.58,4.15
P16659,4.40,4.08,6.50,11.09,8.52,1.28,7.77,4.40,6.72,6.24,3.65,2.39,1.76,1.06,16.77,4.01,3.29,3.61,2.65,7.40,8.18,0.92
P60422,24.98,2.74,16.28,13.34,9.47,3.73,11.25,36.93,8.62,4.94,10.58,3.46,6.33,11.93,15.47,21.79,7.90,1.42,17.92,25.32,9.71,12.52
P00452,11.20,2.56,18.55,13.39,7.24,0.79,6.73,23.18,16.15,1.82,10.34,5.42,7.73,14.30,27.15,16.34,4.14,5.75,3.84,14.41,13.59,11.53
P27298,5.72,5.33,7.56,5.03,2.66,9.39,1.48,11.42,9.91,5.07,6.64,2.57,10.39,3.49,9.67,10.68,4.39,1.16,6.34,3.08,6.67,2.92
P0A6B7,5.77,2.32,7.73,6.01,2.90,1.40,4.82,8.27,9.51,0.98,4.25,1.50,5.86,6.84,16.13,11.24,6.46,10.42,6.04,3.06,13.48,9.34
P13035,16.15,17.36,0.20,5.72,1.93,6.07,6.82,6.49,5.75,6.18,17.20,6.02,7.86,20.38,15.03,36.88,20.18,1.87,8.15,17.34,5.99,11.17
P0ABB0,7.64,6.45,0.93,7.55,4.72,2.85,2.74,4.42,2.91,1.18,5.05,3.67,4.68,1.66,5.58,4.02,2.04,7.34,4.54,4.08,2.38,4.33
P38038,11.49,1.50,10.00,17.27,8.22,3.58,3.23,4.78,4.81,1.78,1.81,3.08,17.04,4.95,31.33,12.04,9.21,9.51,8.93,13.42,7.49,6.16
P0AAI3,8.83,5.54,7.94,2.04,0.49,3.45,1.37,6.35,3.80,4.06,3.57,1.37,4.44,2.78,6.67,1.80,4.10,7.63,4.06,5.51,2.10,5.73
P0AG30,11.43,2.64,6.27,11.22,2.32,0.79,4.77,5.54,6.04,7.43,6.21,4.34,4.02,2.06,13.64,9.38,6.48,2.87,2.68,8.05,1.51,5.54
P0A817,12.39,3.26,5.12,2.79,3.15,5.32,2.89,10.03,5.23,3.71,3.15,3.68,16.45,14.11,3.59,7.73,2.11,4.15,3.21,4.03,1.66,7.94
P0ADG7,8.05,3.34,7.18,7.34,7.67,3.37,4.92,11.04,6.73,2.61,2.19,1.03,7.84,3.73,9.42,5.40,5.31,8.34,4.96,11.25,6.44,7.12
Q59385,6.00,11.40,5.11,13.25,8.37,12.19,9.50,11.72,6.01,11.90,8.25,6.89,11.07,9.41,10.83,4.96,14.62,13.63,6.54,15.87,18.06,12.26
P0AFF6,16.24,4.37,3.72,5.12,5.05,8.28,2.33,8.89,4.13,0.86,2.51,2.23,8.15,5.01,10.86,9.18,6.11,5.63,4.78,6.19,2.98,6.63
P0A7Z4,12.54,8.16,4.08,9.95,13.58,5.94,6.78,9.50,3.78,3.94,3.47,3.84,8.10,4.62,7.58,8.76,6.60,3.74,1.45,8.13,6.08,3.03
P0A8N3,8.91,1.49,5.74,5.13,4.29,11.93,6.11,2.42,5.40,4.12,6.80,3.41,11.62,11.75,19.73,14.47,3.95,7.86,4.10,9.47,6.29,5.29
P00959,7.49,3.14,3.51,0.73,8.57,7.05,4.85,5.65,10.41,5.89,6.93,1.91,16.84,2.97,13.00,5.28,8.55,2.44,4.25,8.35,3.50,5.61
P00350,2.79,1.01,1.75,2.64,5.40,2.00,0.92,2.89,3.25,1.30,0.95,0.85,4.94,15.74,14.04,7.69,7.84,5.47,4.86,1.96,5.83,5.21
P0AEE5,13.99,1.75,1.41,11.87,1.58,12.77,1.75,0.74,7.33,5.74,4.64,2.62,11.53,8.61,3.67,19.29,12.89,7.93,1.81,3.50,9.28,11.28
P0AD96,4.73,1.82,3.75,13.47,2.08,2.33,4.20,3.81,6.66,1.41,2.62,2.38,7.60,11.98,4.85,11.01,2.87,7.22,9.16,2.69,5.06,4.30
P13009,6.72,8.50,18.26,17.86,4.26,11.22,5.23,16.70,6.65,4.42,9.91,8.48,10.77,16.82,17.63,6.08,5.43,3.28,10.02,22.97,13.62,13.36
P61889,27.72,1.32,4.33,9.05,6.45,2.90,3.04,7.03,3.71,2.13,4.77,1.80,6.52,6.25,10.18,14.84,6.74,4.08,2.31,5.12,8.84,10.07
P32132,16.76,8.33,6.52,15.75,9.51,11.63,4.29,4.07,5.16,6.82,6.97,3.13,4.57,10.39,18.09,15.35,11.38,4.76,5.30,6.30,3.18,9.17
P77804,5.63,2.49,7.47,10.18,5.38,3.92,6.93,11.46,4.87,6.50,6.53,5.31,12.39,15.44,10.65,10.09,7.72,6.26,5.69,36.67,8.43,1.38
P06971,7.07,6.55,9.79,5.85,2.93,4.68,2.70,4.58,17.51,1.62,7.10,3.15,12.61,11.80,7.71,13.63,8.79,4.89,1.63,3.98,12.89,9.67
P0ADY1,13.91,9.07,8.62,5.14,28.68,4.46,30.62,21.54,11.75,11.19,18.45,16.79,1.85,3.73,6.73,3.46,20.09,9.79,18.42,16.36,11.59,14.82
P30850,11.54,3.11,7.73,19.44,5.47,1.36,2.13,10.75,6.79,3.71,8.42,3.74,5.74,5.98,13.40,10.02,9.24,5.21,8.58,12.96,4.94,2.45
P00962,1.77,2.25,4.72,13.80,9.21,5.44,1.43,5.72,1.44,4.78,1.17,9.62,4.93,14.02,9.52,7.92,2.91,2.29,2.67,2.36,2.16,6.27
P0AB71,7.41,2.77,0.76,4.44,5.39,2.98,1.13,6.05,3.98,2.61,2.73,2.70,4.42,3.66,8.91,3.63,1.94,3.24,6.84,8.35,3.50,0.94
P0ABK5,22.45,5.27,4.09,6.73,4.81,4.52,1.15,1.60,6.90,0.90,2.51,0.91,9.65,4.29,13.55,9.13,3.15,7.21,1.65,6.38,4.03,4.57
P0ACY3,35.65,2.58,10.78,3.81,9.43,10.29,6.27,9.99,13.93,2.04,6.55,3.31,12.29,13.41,5.72,7.73,5.72,19.96,1.70,6.85,31.10,6.04
P23845,23.18,2.49,18.16,23.60,3.90,7.89,1.60,29.84,11.00,3.26,14.15,2.83,14.05,21.88,24.62,7.37,5.27,8.69,16.54,20.14,7.38,14.15
P23865,1.45,1.38,10.95,12.96,4.69,3.51,0.58,4.90,4.46,2.99,3.73,6.96,9.82,9.60,7.87,10.47,6.78,3.06,3.55,1.97,2.91,8.39
P21177,32.40,9.48,4.49,4.54,5.17,7.71,2.40,22.99,16.43,9.38,8.71,5.29,19.31,11.59,11.64,23.71,9.40,2.30,5.61,10.15,24.39,4.16
P36938,14.30,5.86,3.79,5.63,4.58,6.41,2.14,5.55,4.62,7.35,5.17,8.48,5.19,10.39,6.86,15.60,5.19,8.66,4.50,6.17,0.64,6.57
P0A870,5.38,1.02,5.51,2.78,5.26,6.34,5.18,11.15,5.26,0.70,2.25,1.21,1.18,5.80,2.35,6.61,3.97,9.57,3.66,2.60,4.98,4.62
P68767,19.59,3.29,14.80,8.22,2.01,4.30,3.28,25.61,6.15,3.73,12.14,1.41,7.21,12.59,11.45,13.09,1.45,11.65,8.49,15.89,18.58,11.52
P00934,8.83,4.87,3.64,5.04,7.04,2.40,2.47,6.54,13.32,7.66,3.63,4.44,2.42,5.02,4.83,11.49,7.82,5.65,3.80,7.06,9.67,7.46
P0A9P0,1.37,4.86,6.10,2.89,4.03,5.74,0.93,9.00,5.74,1.87,4.01,2.70,13.47,1.85,16.28,13.34,8.75,13.31,3.83,6.26,4.64,0.88
P75691,56.15,13.37,12.91,8.14,11.30,4.05,9.39,11.83,20.57,13.14,6.01,7.23,6.43,1.83,16.75,10.20,5.68,13.00,4.35,3.34,23.12,7.36
P0ABZ6,6.64,1.58,2.64,10.73,5.48,0.46,6.60,9.50,4.93,3.20,2.86,3.06,11.08,10.49,7.59,6.16,2.61,6.81,14.35,3.28,12.45,3.03
P21499,22.02,6.19,6.15,16.85,5.96,4.01,9.44,33.67,6.32,8.49,19.00,9.33,20.94,3.55,12.47,8.46,21.35,16.11,24.11,28.58,10.70,16.36
P0A8M0,15.67,3.96,7.47,2.76,3.33,6.39,3.30,1.82,9.66,2.15,4.63,2.57,7.49,5.58,16.93,11.88,5.50,3.16,0.81,0.60,5.78,3.74
P0A8L1,10.00,3.06,5.73,5.93,4.61,5.00,1.04,5.26,4.41,5.59,1.11,1.35,9.33,6.09,16.62,6.41,3.13,2.68,5.03,7.86,7.30,3.32
P0AEX9,27.73,0.91,2.47,17.82,13.68,11.67,5.70,4.69,9.74,1.49,5.42,4.03,5.44,14.96,14.26,16.27,6.82,7.54,2.84,13.25,22.64,5.56
P0A786,17.74,2.99,5.13,14.91,9.09,3.49,3.56,27.58,5.08,4.77,4.93,4.16,1.71,19.05,3.90,17.24,3.35,11.87,6.00,11.79,6.73,6.09
P05791,5.22,4.01,3.77,4.61,4.87,8.63,4.30,12.97,6.26,7.12,3.89,5.37,4.09,9.18,3.58,0.72,3.85,18.07,11.88,8.57,10.01,8.25
P77748,11.13,4.48,14.61,9.81,2.38,3.51,6.09,23.03,4.78,2.12,6.09,1.02,12.20,4.30,9.14,3.43,7.55,20.57,8.07,20.54,12.72,5.73
P17315,5.42,9.96,5.85,13.25,11.71,3.52,3.09,13.50,11.03,2.97,19.83,11.78,5.80,7.03,11.65,10.78,8.60,5.62,3.13,9.13,78.26,1.61
P0ABH9,18.07,2.81,19.28,15.17,4.43,6.11,9.41,25.02,5.86,4.13,5.93,2.24,4.64,20.76,22.83,17.80,1.30,10.29,8.91,13.64,8.14,8.52
P0C0V0,1.29,3.36,2.92,10.27,6.74,11.85,2.10,19.97,4.07,3.24,3.30,2.74,12.81,8.83,6.57,7.06,5.94,10.35,12.25,8.84,15.27,7.86
P31554,8.35,7.99,1.86,2.02,4.00,4.69,5.57,5.33,0.60,3.11,3.75,3.26,10.57,16.18,14.87,11.68,6.37,5.57,2.19,6.42,8.57,14.01
P06612,7.71,4.01,5.83,9.66,3.21,11.75,2.39,20.05,6.55,1.60,3.49,2.70,10.15,10.29,18.68,6.71,4.57,9.45,11.44,14.74,9.80,4.56
P11875,1.99,3.04,4.88,9.45,1.72,6.97,7.90,3.20,6.89,12.69,4.93,1.34,4.81,16.60,16.75,10.85,6.60,4.90,1.84,8.54,5.43,1.31
P04805,8.93,2.51,8.93,3.73,1.98,3.29,5.39,3.12,3.76,7.54,6.11,2.04,1.42,6.58,2.97,9.16,4.38,3.48,6.52,5.24,4.37,0.98
P0A7V0,12.99,0.64,3.30,7.10,2.64,3.41,1.98,2.06,2.05,0.46,1.11,3.18,2.78,4.64,5.06,7.42,4.17,3.44,5.82,3.75,2.47,6.09
P33363,1.35,5.35,12.81,9.96,5.19,1.55,5.05,11.94,10.44,6.95,9.94,8.57,15.32,11.46,40.83,20.51,10.36,14.88,2.62,21.79,11.47,3.32
P0C8J6,21.56,1.06,0.82,13.80,6.87,11.11,2.24,7.82,17.84,3.11,5.89,1.57,8.18,9.71,10.15,27.83,8.86,4.70,1.74,5.13,1.01,11.32
P69786,20.86,7.40,9.86,8.03,7.70,7.62,3.07,32.24,6.67,5.94,9.16,6.84,10.70,12.14,13.63,12.76,2.12,2.43,6.88,21.67,21.76,20.90
P05020,7.42,1.33,3.86,5.84,10.08,6.67,5.20,4.95,1.11,7.17,6.71,3.53,7.14,1.46,12.59,5.69,0.40,8.78,4.82,6.47,5.26,4.85
